# For Block IDs see http://minecraftwiki.net/wiki/Data_values
# Note that noise or alpha (or both) do not work for a few blocks like snow, torches, fences, steps, ...
# Actually, if you see any block has an alpha value of 254 you should leave it that way to prevent black artifacts.
# If you want to set alpha of grass to <255, use -blendall or you won't get what you expect.
# Noise is supposed to look normal using -noise 10
# Dyed wool ranges from ID 240 to 254, it's orange to black in the order described at http://www.minecraftwiki.net/wiki/Data_values#Wool
# half-steps of sand, wood and cobblestone are 233 to 235

#ID    R   G   B    A  Noise
  0    0   0   0    0    0
  1  120 117 106  255   16
  2   75 119  15  255   14
  3   93  75  46  255   22
  4  106 101  87  255   26
  5  107  75  37  255   11
  6  156 156 156    0    0
  7   71  71  74  255    0
  8   69 124 186   20    0
  9   69 124 186   20    0
 10  229 148  37  255    0
 11  229 148  37  255    0
 12  134 124  77  255   14
 13   84  73  55  255   24
 14  227 162  34  255    0
 15  161 121  79  255    0
 16   50  54  63  255    0
 17   84  58  39  255    0
 18   62  76  66  150   12
 19  206 206  74  255    0
 20  161 196 201   90    0
 21  102 112 134  255   10
 22   29  71 165  255    5
 23  107 107 107  255    0
 24  165 156 102  255   14
 25  100  67  50  255   10
 26  175 116 116  254    0
 27  160 134  72  250    0
 28  120 114  92  250    0
 29  106 102  95  255    0
 30  220 220 220  190    0
 31  110 166  68  254   12
 32  123  79  25  254   25
 33  106 102  95  255    0
 34  153 129  89  255    0
 35  204 210 197  255   10
 36    0   0   0    0    0
 37   66  97  54  254    0
 38   76 126 169  254    0
 39  166 130   0  254    0
 40  182  15  15  254    0
 41  204 210 197  255    0
 42  173 173 173  255    0
 43  110 101  89  255    0
 44  110 101  89  254    0
 45  208  93  66  255    0
 46  193  60  23  255    0
 47  106 102  95  255    0
 48   67  75  49  255   27
 49   58  47  58  255    0
 50  254 203  58  200    0
 51  255 170  30  200    0
 52  245 220  50  255    0
 53  107  75  37  255   11
 54  149 119  91  255    0
 55  105  19  19  255    0
 56  114 227 252  255    0
 57  148 196 214  255    0
 58  154 124  89  255    0
